"region","crop","2009","2010","2011","2012","2013"
"01 Stockholm county","winter wheat",4690,3990,3870,6100,3460
"01 Stockholm county","spring wheat",4060,3440,3430,3900,4180
"01 Stockholm county","rye",..,..,..,..,..
"01 Stockholm county","winter barley",..,..,..,..,..
"01 Stockholm county","spring barley",4160,3190,3460,3840,4140
"01 Stockholm county","oats",3470,2950,3100,3110,3640
"01 Stockholm county","Winter triticale",4900,..,..,..,..
"01 Stockholm county","spring triticale",..,..,..,..,..
"01 Stockholm county","mixed grain",..,..,..,..,..
"01 Stockholm county","peas",2560,2280,2550,..,..
"01 Stockholm county","field beans",..,..,..,..,..
"01 Stockholm county","corn",..,..,..,..,..
"01 Stockholm county","table potatoes",..,..,..,..,..
"01 Stockholm county","potatoes for processing of starch",..,..,..,..,..
"01 Stockholm county","sugar beets",..,..,..,..,..
"01 Stockholm county","winter rape",..,2300,..,2920,..
"01 Stockholm county","spring rape",2010,1650,1920,2010,1570
"01 Stockholm county","winter turnip rape",..,..,..,..,..
"01 Stockholm county","spring turnip rape",..,..,..,..,..
"01 Stockholm county","oil flax",..,1120,..,..,..
"01 Stockholm county","temporary grasses",..,..,2600,..,3430
"01 Stockholm county","temporary grasses. First cut",2390,3460,2040,..,2700
"01 Stockholm county","temporary grasses. Re-growth",..,..,..,..,..
"03 Uppsala county","winter wheat",5300,5000,3900,6200,3040
"03 Uppsala county","spring wheat",4430,4060,3210,3640,4290
"03 Uppsala county","rye",4820,..,3280,4880,..
"03 Uppsala county","winter barley",..,..,..,..,..
"03 Uppsala county","spring barley",4300,3880,3630,3960,4330
"03 Uppsala county","oats",3870,2990,3210,3650,3600
"03 Uppsala county","Winter triticale",..,..,..,..,..
"03 Uppsala county","spring triticale",..,..,..,..,..
"03 Uppsala county","mixed grain",..,..,..,..,3310
"03 Uppsala county","peas",2990,2300,2560,2510,2800
"03 Uppsala county","field beans",..,..,..,..,..
"03 Uppsala county","corn",..,..,..,..,..
"03 Uppsala county","table potatoes",..,..,..,..,..
"03 Uppsala county","potatoes for processing of starch",..,..,..,..,..
"03 Uppsala county","sugar beets",..,..,..,..,..
"03 Uppsala county","winter rape",..,2700,2350,2870,..
"03 Uppsala county","spring rape",2160,1780,2100,2160,1730
"03 Uppsala county","winter turnip rape",..,..,..,..,..
"03 Uppsala county","spring turnip rape",..,..,..,..,..
"03 Uppsala county","oil flax",..,1060,..,..,..
"03 Uppsala county","temporary grasses",4580,4510,3390,4960,3670
"03 Uppsala county","temporary grasses. First cut",2840,3090,2000,2810,2440
"03 Uppsala county","temporary grasses. Re-growth",1740,1410,1390,2150,..
"04 Södermanland county","winter wheat",5070,4420,4700,6060,4080
"04 Södermanland county","spring wheat",4640,3790,3950,4230,4480
"04 Södermanland county","rye",4730,2850,..,..,..
"04 Södermanland county","winter barley",..,..,..,..,..
"04 Södermanland county","spring barley",4610,3000,4110,3910,4570
"04 Södermanland county","oats",4230,2450,4190,3670,3760
"04 Södermanland county","Winter triticale",4440,4240,3830,5530,3340
"04 Södermanland county","spring triticale",..,..,..,..,..
"04 Södermanland county","mixed grain",..,2000,3190,3140,..
"04 Södermanland county","peas",2510,2060,3070,1760,3010
"04 Södermanland county","field beans",..,1540,3030,3510,..
"04 Södermanland county","corn",..,..,..,..,..
"04 Södermanland county","table potatoes",..,..,..,..,..
"04 Södermanland county","potatoes for processing of starch",..,..,..,..,..
"04 Södermanland county","sugar beets",..,..,..,..,..
"04 Södermanland county","winter rape",2110,2500,2690,2810,2240
"04 Södermanland county","spring rape",1880,1440,2250,1920,1650
"04 Södermanland county","winter turnip rape",..,..,..,..,..
"04 Södermanland county","spring turnip rape",..,..,..,..,..
"04 Södermanland county","oil flax",1820,1140,1500,..,..
"04 Södermanland county","temporary grasses",4530,4340,4170,4910,4150
"04 Södermanland county","temporary grasses. First cut",2460,2540,2370,3270,2800
"04 Södermanland county","temporary grasses. Re-growth",2060,1800,..,1640,1350
"05 Östergötland county","winter wheat",6640,5520,5560,6740,6140
"05 Östergötland county","spring wheat",4890,4150,4060,4100,5090
"05 Östergötland county","rye",6170,4450,5840,6600,5320
"05 Östergötland county","winter barley",5830,4190,4980,..,5590
"05 Östergötland county","spring barley",5160,4020,4930,4980,5240
"05 Östergötland county","oats",4540,2790,3890,3980,4420
"05 Östergötland county","Winter triticale",4890,3920,4580,6320,5040
"05 Östergötland county","spring triticale",..,..,..,..,..
"05 Östergötland county","mixed grain",3130,2300,3230,3160,3710
"05 Östergötland county","peas",3300,2300,3660,3090,3880
"05 Östergötland county","field beans",3780,2120,3470,3950,3500
"05 Östergötland county","corn",..,..,..,..,..
"05 Östergötland county","table potatoes",32530,31930,36190,34650,35490
"05 Östergötland county","potatoes for processing of starch",..,..,..,..,..
"05 Östergötland county","sugar beets",..,..,..,..,..
"05 Östergötland county","winter rape",2730,2160,3010,3600,2650
"05 Östergötland county","spring rape",1640,1310,2000,1950,1990
"05 Östergötland county","winter turnip rape",..,..,..,..,..
"05 Östergötland county","spring turnip rape",..,..,..,..,..
"05 Östergötland county","oil flax",2070,1350,1830,1610,2040
"05 Östergötland county","temporary grasses",4980,5530,4340,4640,3940
"05 Östergötland county","temporary grasses. First cut",2730,3060,2490,2920,2260
"05 Östergötland county","temporary grasses. Re-growth",2250,2460,1850,1710,1680
"06 Jönköping county","winter wheat",..,5340,..,..,..
"06 Jönköping county","spring wheat",..,..,..,3880,..
"06 Jönköping county","rye",..,..,..,..,..
"06 Jönköping county","winter barley",..,..,..,..,..
"06 Jönköping county","spring barley",3500,3230,3420,3070,4020
"06 Jönköping county","oats",4240,3430,3750,2810,3900
"06 Jönköping county","Winter triticale",3440,..,..,..,..
"06 Jönköping county","spring triticale",..,..,..,..,..
"06 Jönköping county","mixed grain",3610,3340,..,..,3370
"06 Jönköping county","peas",..,..,..,..,..
"06 Jönköping county","field beans",..,..,..,..,..
"06 Jönköping county","corn",..,..,..,..,..
"06 Jönköping county","table potatoes",..,..,..,..,..
"06 Jönköping county","potatoes for processing of starch",..,..,..,..,..
"06 Jönköping county","sugar beets",..,..,..,..,..
"06 Jönköping county","winter rape",..,..,..,..,..
"06 Jönköping county","spring rape",..,..,..,..,..
"06 Jönköping county","winter turnip rape",..,..,..,..,..
"06 Jönköping county","spring turnip rape",..,..,..,..,..
"06 Jönköping county","oil flax",..,..,..,..,..
"06 Jönköping county","temporary grasses",5060,4360,3670,4520,4970
"06 Jönköping county","temporary grasses. First cut",3000,2710,2070,2910,2830
"06 Jönköping county","temporary grasses. Re-growth",2060,1650,1590,1600,2130
"07 Kronoberg county","winter wheat",4770,..,..,..,..
"07 Kronoberg county","spring wheat",4410,..,4250,4240,4160
"07 Kronoberg county","rye",..,..,..,..,..
"07 Kronoberg county","winter barley",..,..,..,..,..
"07 Kronoberg county","spring barley",3810,3350,3290,3780,4040
"07 Kronoberg county","oats",4340,3620,3880,3770,3870
"07 Kronoberg county","Winter triticale",3670,4040,..,..,..
"07 Kronoberg county","spring triticale",..,..,..,..,..
"07 Kronoberg county","mixed grain",..,..,..,..,..
"07 Kronoberg county","peas",..,..,..,..,..
"07 Kronoberg county","field beans",..,..,..,..,..
"07 Kronoberg county","corn",..,..,..,..,..
"07 Kronoberg county","table potatoes",..,..,..,..,..
"07 Kronoberg county","potatoes for processing of starch",..,..,..,..,..
"07 Kronoberg county","sugar beets",..,..,..,..,..
"07 Kronoberg county","winter rape",..,..,..,..,..
"07 Kronoberg county","spring rape",..,..,..,..,..
"07 Kronoberg county","winter turnip rape",..,..,..,..,..
"07 Kronoberg county","spring turnip rape",..,..,..,..,..
"07 Kronoberg county","oil flax",..,..,..,..,..
"07 Kronoberg county","temporary grasses",..,5540,3860,3470,4440
"07 Kronoberg county","temporary grasses. First cut",..,3340,2400,2190,2360
"07 Kronoberg county","temporary grasses. Re-growth",..,2200,..,1280,2080
"08 Kalmar county","winter wheat",6480,4910,4840,7430,6900
"08 Kalmar county","spring wheat",4900,4260,4510,4290,4320
"08 Kalmar county","rye",5170,3660,..,..,..
"08 Kalmar county","winter barley",5550,3930,3560,7040,5920
"08 Kalmar county","spring barley",4120,2930,3590,4490,4630
"08 Kalmar county","oats",4160,2500,3070,3470,4420
"08 Kalmar county","Winter triticale",4860,3820,4170,6170,4960
"08 Kalmar county","spring triticale",..,..,..,..,..
"08 Kalmar county","mixed grain",..,1920,2820,..,..
"08 Kalmar county","peas",3700,2370,3190,4250,3580
"08 Kalmar county","field beans",..,..,..,..,..
"08 Kalmar county","corn",..,..,..,..,..
"08 Kalmar county","table potatoes",28580,29470,..,..,31320
"08 Kalmar county","potatoes for processing of starch",40490,35050,40940,41520,42270
"08 Kalmar county","sugar beets",50200,51300,56000,59300,74200
"08 Kalmar county","winter rape",3730,3060,3220,4470,3730
"08 Kalmar county","spring rape",..,..,..,..,..
"08 Kalmar county","winter turnip rape",..,..,..,..,..
"08 Kalmar county","spring turnip rape",..,..,..,..,..
"08 Kalmar county","oil flax",..,..,..,..,..
"08 Kalmar county","temporary grasses",5010,5370,5220,4840,4850
"08 Kalmar county","temporary grasses. First cut",3010,3000,2240,3020,3070
"08 Kalmar county","temporary grasses. Re-growth",2000,2370,2980,1820,1780
"09 Gotland county","winter wheat",5360,4430,3990,6540,5540
"09 Gotland county","spring wheat",4020,3700,4450,5020,4470
"09 Gotland county","rye",4630,..,3280,5380,..
"09 Gotland county","winter barley",5150,3550,2920,6560,4940
"09 Gotland county","spring barley",4450,3100,3640,4900,4650
"09 Gotland county","oats",3410,2690,3520,4360,3940
"09 Gotland county","Winter triticale",4500,3630,3770,6310,4820
"09 Gotland county","spring triticale",..,..,..,..,..
"09 Gotland county","mixed grain",..,..,..,..,..
"09 Gotland county","peas",3900,2560,3210,4450,3850
"09 Gotland county","field beans",..,..,..,..,..
"09 Gotland county","corn",..,..,..,..,..
"09 Gotland county","table potatoes",29450,27370,27610,32190,29630
"09 Gotland county","potatoes for processing of starch",..,..,..,..,..
"09 Gotland county","sugar beets",..,..,..,..,..
"09 Gotland county","winter rape",3290,2800,2580,4000,2890
"09 Gotland county","spring rape",2170,1240,2170,2220,2100
"09 Gotland county","winter turnip rape",..,..,..,..,..
"09 Gotland county","spring turnip rape",..,..,..,..,..
"09 Gotland county","oil flax",..,..,..,..,..
"09 Gotland county","temporary grasses",5500,6330,4750,6150,4350
"09 Gotland county","temporary grasses. First cut",3280,3750,2400,3460,2810
"09 Gotland county","temporary grasses. Re-growth",2220,2590,2350,2690,1540
"10 Blekinge county","winter wheat",6490,5820,5860,7480,6640
"10 Blekinge county","spring wheat",6220,..,5690,6790,6020
"10 Blekinge county","rye",..,..,..,..,..
"10 Blekinge county","winter barley",..,..,..,..,..
"10 Blekinge county","spring barley",4750,4190,4500,4740,4780
"10 Blekinge county","oats",4090,..,..,..,4300
"10 Blekinge county","Winter triticale",4810,5140,..,..,..
"10 Blekinge county","spring triticale",..,..,..,..,..
"10 Blekinge county","mixed grain",..,..,..,..,..
"10 Blekinge county","peas",..,..,..,..,..
"10 Blekinge county","field beans",..,..,..,..,..
"10 Blekinge county","corn",..,..,..,..,..
"10 Blekinge county","table potatoes",..,..,..,..,..
"10 Blekinge county","potatoes for processing of starch",39330,33920,37800,41880,40140
"10 Blekinge county","sugar beets",58100,53100,62000,58500,65100
"10 Blekinge county","winter rape",..,3130,3390,4030,3360
"10 Blekinge county","spring rape",..,..,..,..,..
"10 Blekinge county","winter turnip rape",..,..,..,..,..
"10 Blekinge county","spring turnip rape",..,..,..,..,..
"10 Blekinge county","oil flax",..,..,..,..,..
"10 Blekinge county","temporary grasses",..,..,..,..,4670
"10 Blekinge county","temporary grasses. First cut",..,..,..,..,3190
"10 Blekinge county","temporary grasses. Re-growth",..,..,..,..,1480
"12 Skåne county","winter wheat",8210,6600,7470,7840,7560
"12 Skåne county","spring wheat",6180,5000,5370,5800,5840
"12 Skåne county","rye",7060,6000,6340,7090,6630
"12 Skåne county","winter barley",6320,5420,5600,6890,6620
"12 Skåne county","spring barley",5960,5410,5710,6360,6240
"12 Skåne county","oats",5230,4540,5010,5420,6000
"12 Skåne county","Winter triticale",5790,5040,5200,6650,5550
"12 Skåne county","spring triticale",..,..,..,..,..
"12 Skåne county","mixed grain",..,..,..,..,..
"12 Skåne county","peas",..,2680,..,..,..
"12 Skåne county","field beans",..,..,3690,..,3600
"12 Skåne county","corn",6550,5630,7870,6340,5760
"12 Skåne county","table potatoes",30620,28990,30720,31890,31960
"12 Skåne county","potatoes for processing of starch",40290,38930,39870,43210,42630
"12 Skåne county","sugar beets",60600,52100,63000,59400,64200
"12 Skåne county","winter rape",4090,3410,3300,4020,3480
"12 Skåne county","spring rape",..,1290,1930,2460,2450
"12 Skåne county","winter turnip rape",..,..,..,..,..
"12 Skåne county","spring turnip rape",..,..,..,..,..
"12 Skåne county","oil flax",..,..,..,..,..
"12 Skåne county","temporary grasses",5710,5140,5640,5140,5090
"12 Skåne county","temporary grasses. First cut",3370,3190,3150,3200,2840
"12 Skåne county","temporary grasses. Re-growth",2340,1950,2490,1940,2250
"11 former Kristianstad county","winter wheat",..,..,..,..,..
"11 former Kristianstad county","spring wheat",..,..,..,..,..
"11 former Kristianstad county","rye",..,..,..,..,..
"11 former Kristianstad county","winter barley",..,..,..,..,..
"11 former Kristianstad county","spring barley",..,..,..,..,..
"11 former Kristianstad county","oats",..,..,..,..,..
"11 former Kristianstad county","Winter triticale",..,..,..,..,..
"11 former Kristianstad county","spring triticale",..,..,..,..,..
"11 former Kristianstad county","mixed grain",..,..,..,..,..
"11 former Kristianstad county","peas",..,..,..,..,..
"11 former Kristianstad county","field beans",..,..,..,..,..
"11 former Kristianstad county","corn",..,..,..,..,..
"11 former Kristianstad county","table potatoes",..,..,..,..,..
"11 former Kristianstad county","potatoes for processing of starch",..,..,..,..,..
"11 former Kristianstad county","sugar beets",..,..,..,..,..
"11 former Kristianstad county","winter rape",..,..,..,..,..
"11 former Kristianstad county","spring rape",..,..,..,..,..
"11 former Kristianstad county","winter turnip rape",..,..,..,..,..
"11 former Kristianstad county","spring turnip rape",..,..,..,..,..
"11 former Kristianstad county","oil flax",..,..,..,..,..
"11 former Kristianstad county","temporary grasses",..,..,..,..,..
"11 former Kristianstad county","temporary grasses. First cut",..,..,..,..,..
"11 former Kristianstad county","temporary grasses. Re-growth",..,..,..,..,..
"122 former Malmöhus county","winter wheat",..,..,..,..,..
"122 former Malmöhus county","spring wheat",..,..,..,..,..
"122 former Malmöhus county","rye",..,..,..,..,..
"122 former Malmöhus county","winter barley",..,..,..,..,..
"122 former Malmöhus county","spring barley",..,..,..,..,..
"122 former Malmöhus county","oats",..,..,..,..,..
"122 former Malmöhus county","Winter triticale",..,..,..,..,..
"122 former Malmöhus county","spring triticale",..,..,..,..,..
"122 former Malmöhus county","mixed grain",..,..,..,..,..
"122 former Malmöhus county","peas",..,..,..,..,..
"122 former Malmöhus county","field beans",..,..,..,..,..
"122 former Malmöhus county","corn",..,..,..,..,..
"122 former Malmöhus county","table potatoes",..,..,..,..,..
"122 former Malmöhus county","potatoes for processing of starch",..,..,..,..,..
"122 former Malmöhus county","sugar beets",..,..,..,..,..
"122 former Malmöhus county","winter rape",..,..,..,..,..
"122 former Malmöhus county","spring rape",..,..,..,..,..
"122 former Malmöhus county","winter turnip rape",..,..,..,..,..
"122 former Malmöhus county","spring turnip rape",..,..,..,..,..
"122 former Malmöhus county","oil flax",..,..,..,..,..
"122 former Malmöhus county","temporary grasses",..,..,..,..,..
"122 former Malmöhus county","temporary grasses. First cut",..,..,..,..,..
"122 former Malmöhus county","temporary grasses. Re-growth",..,..,..,..,..
"13 Halland county","winter wheat",6680,6480,5710,6090,6580
"13 Halland county","spring wheat",5350,4550,3390,4660,5350
"13 Halland county","rye",..,..,..,..,..
"13 Halland county","winter barley",..,5340,..,..,..
"13 Halland county","spring barley",5130,4590,4480,5020,5530
"13 Halland county","oats",4520,4410,3920,4140,5040
"13 Halland county","Winter triticale",5980,5690,4910,5680,5940
"13 Halland county","spring triticale",..,..,..,..,..
"13 Halland county","mixed grain",..,..,..,..,..
"13 Halland county","peas",..,..,..,..,..
"13 Halland county","field beans",..,..,..,..,..
"13 Halland county","corn",..,..,..,..,..
"13 Halland county","table potatoes",38060,31190,32710,35760,35940
"13 Halland county","potatoes for processing of starch",..,..,..,..,..
"13 Halland county","sugar beets",58600,50200,58500,53200,65000
"13 Halland county","winter rape",3420,3100,2300,3120,2590
"13 Halland county","spring rape",..,1510,1950,2330,2190
"13 Halland county","winter turnip rape",..,..,..,..,..
"13 Halland county","spring turnip rape",..,..,..,..,..
"13 Halland county","oil flax",..,..,..,..,..
"13 Halland county","temporary grasses",5090,5860,5750,5530,4720
"13 Halland county","temporary grasses. First cut",2710,3020,2980,2780,2240
"13 Halland county","temporary grasses. Re-growth",2370,2850,2770,2750,2490
